"Solvent","InChIKey","Volume","δd","δp","δh","δt"
"Entity[""Chemical"", ""2Butanol""]","BTANRVKWQNVYAZ-UHFFFAOYSA-N","Quantity[92., ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[5.7, Sqrt[""Megapascals""]]","Quantity[14.5, Sqrt[""Megapascals""]]","Quantity[22.1, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""2Butanone""]","ZWEHNKRNPOVVGH-UHFFFAOYSA-N","Quantity[90.1, ""Centimeters""^3/""Moles""]","Quantity[16., Sqrt[""Megapascals""]]","Quantity[9., Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[19., Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""2ButoxyethylAcetate""]","NQBXSWAWVZHKBZ-UHFFFAOYSA-N","Quantity[171.2, ""Centimeters""^3/""Moles""]","Quantity[15.3, Sqrt[""Megapascals""]]","Quantity[7.5, Sqrt[""Megapascals""]]","Quantity[6.8, Sqrt[""Megapascals""]]","Quantity[18.346116755324545, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""2ChloroethylEther""]","ZNSMNVMLTJELDZ-UHFFFAOYSA-N","Quantity[117.6, ""Centimeters""^3/""Moles""]","Quantity[18.8, Sqrt[""Megapascals""]]","Quantity[9., Sqrt[""Megapascals""]]","Quantity[5.7, Sqrt[""Megapascals""]]","Quantity[21.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""2Ethoxyethanol""]","ZNQVEEAIQZEUHB-UHFFFAOYSA-N","Quantity[97.8, ""Centimeters""^3/""Moles""]","Quantity[16.2, Sqrt[""Megapascals""]]","Quantity[9.2, Sqrt[""Megapascals""]]","Quantity[14.3, Sqrt[""Megapascals""]]","Quantity[23.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""2EthoxyethylAcetate""]","SVONRAPFKPVNKG-UHFFFAOYSA-N","Quantity[136.2, ""Centimeters""^3/""Moles""]","Quantity[16., Sqrt[""Megapascals""]]","Quantity[4.7, Sqrt[""Megapascals""]]","Quantity[10.6, Sqrt[""Megapascals""]]","Quantity[19.6, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""2Furaldehyde""]","HYBBIBNJHNGZAN-UHFFFAOYSA-N","Quantity[83.2, ""Centimeters""^3/""Moles""]","Quantity[18.6, Sqrt[""Megapascals""]]","Quantity[14.9, Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[24.3, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""2Methoxyethanol""]","XNWFRZJHXBZDAG-UHFFFAOYSA-N","Quantity[79.1, ""Centimeters""^3/""Moles""]","Quantity[16.2, Sqrt[""Megapascals""]]","Quantity[9.2, Sqrt[""Megapascals""]]","Quantity[16.4, Sqrt[""Megapascals""]]","Quantity[24.8, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""2Methyl1Propanol""]","ZXEKIIBDNHEJCQ-UHFFFAOYSA-N","Quantity[92.9, ""Centimeters""^3/""Moles""]","Quantity[15.1, Sqrt[""Megapascals""]]","Quantity[5.7, Sqrt[""Megapascals""]]","Quantity[15.9, Sqrt[""Megapascals""]]","Quantity[22.656345689453097, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""2Nitropropane""]","FGLBSLMDCBOPQK-UHFFFAOYSA-N","Quantity[86.9, ""Centimeters""^3/""Moles""]","Quantity[16.2, Sqrt[""Megapascals""]]","Quantity[12.1, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[20.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""2Octanol""]","SJWFXCIHNDVPSH-UHFFFAOYSA-N","Quantity[159.1, ""Centimeters""^3/""Moles""]","Quantity[16.2, Sqrt[""Megapascals""]]","Quantity[4.9, Sqrt[""Megapascals""]]","Quantity[11., Sqrt[""Megapascals""]]","Quantity[20.3, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""2Pentanone""]","XNLICIUVMPYHGG-UHFFFAOYSA-N","Quantity[107.3, ""Centimeters""^3/""Moles""]","Quantity[16., Sqrt[""Megapascals""]]","Quantity[7.6, Sqrt[""Megapascals""]]","Quantity[4.7, Sqrt[""Megapascals""]]","Quantity[18.326210737629314, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""2Propanol""]","KFZMGEQAYNKOFK-UHFFFAOYSA-N","Quantity[76.8, ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[6.1, Sqrt[""Megapascals""]]","Quantity[16.4, Sqrt[""Megapascals""]]","Quantity[23.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""2Pyrrolidinone""]","HNJBEVLQSNELDL-UHFFFAOYSA-N","Quantity[76., ""Centimeters""^3/""Moles""]","Quantity[19.4, Sqrt[""Megapascals""]]","Quantity[17.4, Sqrt[""Megapascals""]]","Quantity[11.3, Sqrt[""Megapascals""]]","Quantity[28.4, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""3Chloro1Propanol""]","LAMUXTNQCICZQX-UHFFFAOYSA-N","Quantity[84.2, ""Centimeters""^3/""Moles""]","Quantity[17.6, Sqrt[""Megapascals""]]","Quantity[5.7, Sqrt[""Megapascals""]]","Quantity[14.7, Sqrt[""Megapascals""]]","Quantity[23.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""3Hexanol""]","ZOCHHNOQQHDWHG-UHFFFAOYSA-N","Quantity[123.2, ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[4.3, Sqrt[""Megapascals""]]","Quantity[13.5, Sqrt[""Megapascals""]]","Quantity[21.3, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""3Hydroxypropionitrile""]","WSGYTJNNHPZFKR-UHFFFAOYSA-N","Quantity[68.3, ""Centimeters""^3/""Moles""]","Quantity[17.2, Sqrt[""Megapascals""]]","Quantity[18.8, Sqrt[""Megapascals""]]","Quantity[17.6, Sqrt[""Megapascals""]]","Quantity[30.9, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""3Methyl1Butanol""]","PHTQWCKDNZKARW-UHFFFAOYSA-N","Quantity[109.3, ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[5.2, Sqrt[""Megapascals""]]","Quantity[13.3, Sqrt[""Megapascals""]]","Quantity[21.297182912300865, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""3Pentanone""]","FDPIMTJIUBPUKL-UHFFFAOYSA-N","Quantity[106.4, ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[7.6, Sqrt[""Megapascals""]]","Quantity[4.7, Sqrt[""Megapascals""]]","Quantity[18.2, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""4Hydroxy4Methyl2Pentanone""]","SWXVUIWOUIDPGS-UHFFFAOYSA-N","Quantity[124.2, ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[8.2, Sqrt[""Megapascals""]]","Quantity[10.8, Sqrt[""Megapascals""]]","Quantity[20.9, Sqrt[""Megapascals""]]"
