_raw_inchikey,_raw_smiles,_raw_molweight,_raw_smiles_standard,_raw_standard_molweight,_prototype_ECPF4_256_6,_feat_AtomCount_C,_feat_AtomCount_N,_feat_AvgPol,_feat_MolPol,_feat_Refractivity,_feat_AliphaticRingCount,_feat_AromaticRingCount,_feat_Aliphatic AtomCount,_feat_AromaticAtomCount,_feat_BondCount,_feat_CarboaliphaticRingCount,_feat_CarboaromaticRingCount,_feat_CarboRingCount,_feat_ChainAtomCount,_feat_ChiralCenterCount,_feat_RingAtomCount,_feat_SmallestRingSize,_feat_LargestRingSize,_feat_HeteroaliphaticRingCount,_feat_HeteroaromaticRing Count,_feat_RotatableBondCount,_feat_BalabanIndex,_feat_CyclomaticNumber,_feat_HyperWienerIndex,_feat_WienerIndex,_feat_WienerPolarity,_feat_MinimalProjectionArea,_feat_MaximalProjectionArea,_feat_MinimalProjectionRadius,_feat_MaximalProjectionRadius,_feat_LengthPerpendicularToTheMinArea,_feat_LengthPerpendicularToTheMaxArea,_feat_VanderWaalsVolume,_feat_VanderWaalsSurfaceArea,_feat_ASA,_feat_ASA+,_feat_ASA-,_feat_ASA_H,_feat_ASA_P,_feat_PolarSurfaceArea,_feat_acceptorcount,_feat_Accsitecount,_feat_donorcount,_feat_donsitecount,_feat_fr_NH2,_feat_fr_NH1,_feat_fr_NH0,_feat_fr_quatN,_feat_fr_ArN,_feat_fr_Ar_NH,_feat_fr_Imine,_feat_fr_amidine,_feat_fr_dihydropyridine,_feat_fr_guanido,_feat_fr_piperdine,_feat_fr_piperzine,_feat_fr_pyridine,_feat_maximalprojectionsize,_feat_minimalprojectionsize,_feat_molsurfaceareaVDWp,_feat_msareaVDWp,_feat_molsurfaceareaASAp,_feat_msareaASAp,_feat_ProtPolarSurfaceArea,_feat_Protpsa,_feat_Hacceptorcount,_feat_Hdonorcount,_feat_charge_cnt,_calc_chrg_per_vol,_calc_chrg_per_asa-
YMWUJEATGCHHMB-UHFFFAOYSA-N,C(Cl)Cl,84.93,ClCCl,84.930,0000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,6.53,6.39,16.44,0,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,1.63,0,5,4,0,15.32,21.87,2.51,3.18,6.33,4.55,56.33,91.8,232.22,110.81,121.4,232.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,6.33,91.8,91.8,110.81,110.81,0,0,0,0,0,0,0
JMXLWMIFDJCGBV-UHFFFAOYSA-N,C[NH2+]C.[I-],172.97,C[NH2+]C,46.092,0000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000,2,1,6.09,5.88,26.11,0,0,3,0,10,0,0,0,3,0,0,0,0,0,0,0,1.63,0,5,4,0,16.67,22.94,2.61,3.3,6.54,5.05,60.05,116.23,228.53,159.01,69.52,197.63,30.9,16.61,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,5.05,6.54,116.23,116.23,159.01,159.01,16.61,16.61,0,1,1,0.016652789,0.01438435
KFQARYBEAKAXIC-UHFFFAOYSA-N,C1=CC=C(C=C1)[NH3+].[I-],221.04,[NH3+]C1=CC=CC=C1,94.136,0101000000000000000100000000000000000000000000000000000010000000000100000000000000000000000010000000001000010000000000000001000000000001001000000000000000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000,6,1,10.73,11.79,40.99,0,1,1,6,15,0,1,1,1,0,6,6,6,0,0,0,1.82,1,71,42,5,20.14,38.57,3.4,4.01,8,3.87,96.22,155.97,249.23,179.39,69.84,197.52,51.71,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.87,8,155.97,155.97,179.39,179.39,27.64,27.64,0,1,1,0.01039285,0.014318442
NLJDBTZLVTWXRG-UHFFFAOYSA-N,CC(C)(C)[NH3+].[I-],201.00,CC(C)(C)[NH3+],74.146,0000010000000000000000000000000000000000000000000000000010000000000001000000000000000000000000100000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,1,9.73,9.57,35.02,0,0,5,0,16,0,0,0,5,0,0,0,0,0,0,0,3.02,0,22,16,0,25.82,29.4,3.36,3.38,5.77,5.96,93.72,177.46,241.69,175.03,66.66,207.3,34.38,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.96,5.77,177.46,177.46,175.03,175.03,27.64,27.64,0,1,1,0.010670081,0.0150015
GIAPQOZCVIEHNY-UHFFFAOYSA-N,[I-].[NH3+]CCC,186.99,CCC[NH3+],60.119,0000110000000000000000000000000000010000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000010000000,3,1,8.03,7.73,30.48,0,0,4,0,13,0,0,0,4,0,0,0,0,0,0,1,1.97,0,15,10,1,18.32,28.68,2.71,3.94,7.6,5.19,76.51,142.9,243.38,177.81,65.57,193.89,49.49,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.19,7.6,142.9,142.9,177.81,177.81,27.64,27.64,0,1,1,0.013070187,0.015250877
QHJPGANWSLEMTI-UHFFFAOYSA-N,C(=N)[NH3+].[I-],171.97,[NH3+]C=N,45.064,0000000000000000000000000100000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000,1,2,4.78,4.77,33.86,0,0,3,0,7,0,0,0,3,0,0,0,0,0,0,0,1.63,0,5,4,0,13.66,19.81,2.41,3.09,5.69,3.88,47.38,78.34,176.28,146.92,29.36,21.57,154.71,51.49,1,1,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,3.88,5.69,78.12,78.12,123.82,123.82,51.61,51.61,1,2,1,0.021105952,0.034059946
WXTNTIQDYHIFEG-UHFFFAOYSA-N,C1C[NH+]2CC[NH+]1CC2.[I-].[I-],368.00,C1C[NH+]2CC[NH+]1CC2,114.191,0000000000000000000000000000000000000000000000000000001000000000000100000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000,6,2,13.36,13.25,56.1,2,0,8,0,23,0,0,0,0,0,8,6,6,2,0,0,2.03,2,87,54,7,30.75,34.99,3.47,3.54,6.95,6.8,122.53,213.95,223.19,223.19,0,204.85,18.34,8.88,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,3,0,6.8,6.95,213.95,213.95,223.19,223.19,8.88,8.88,0,2,2,0.016322533,
LCTUISCIGMWMAT-UHFFFAOYSA-N,C1(=CC=C(C=C1)F)C[NH3+].[I-],253.06,[NH3+]CC1=CC=C(F)C=C1,126.154,0000000100000000000000010000000010000000000000000000000110000010000100000000000000000000000010000000000000000000000000011000000001000001000100000000000000000010000000000000000000100000000000000100000000000000000000100100000000000000000000000000000010000000,7,1,12.74,13.28,46.04,0,1,3,6,18,0,1,1,3,0,6,6,6,0,0,1,1.94,1,187,90,9,24.13,43.98,3.37,4.92,9.78,5.21,118.01,193.91,279.65,185.74,93.91,201.33,78.32,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.21,9.78,193.91,193.91,185.74,185.74,27.64,27.64,0,1,1,0.008473858,0.010648493
NOHLSFNWSBZSBW-UHFFFAOYSA-N,C1(=CC=C(C=C1)F)CC[NH3+].[I-],266.99,[NH3+]CCC1=CC=C(F)C=C1,140.181,0000000100000000000000010100000000110000000000000000000110000010000101000000000000000000000010000000000000000000000010010000000001000001000100000000000000000010000000000000000000010000000000000000001000000000000000100000000000000000000000000000100010000000,8,1,14.8,15.04,50.8,0,1,4,6,21,0,1,1,4,0,6,6,6,0,0,2,2.13,1,296,127,10,25.38,48.87,3.37,5.49,10.8,5.08,135.05,224.66,311.27,207.04,104.23,230.35,80.92,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.08,10.8,224.66,224.66,207.04,207.04,27.64,27.64,0,1,1,0.007404665,0.009594167
FJFIJIDZQADKEE-UHFFFAOYSA-N,C1(=CC=C(C=C1)F)[NH3+].[I-],239.03,[NH3+]C1=CC=C(F)C=C1,112.127,0000000000000000000100010000000000000001000000000000000010000010000100000000000000000000000010000000001000010000000000000000000001000001000100000000000000000010000000000000000000000000000000000000000000100000000000100000000000000000000000000010000000000000,6,1,10.83,11.42,41.21,0,1,2,6,15,0,1,1,2,0,6,6,6,0,0,0,2.19,1,115,62,7,20.46,40.17,3.35,4.29,8.57,3.97,101.09,163.01,256.13,223.51,32.62,171.72,84.41,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.97,8.57,163.01,163.01,223.51,223.51,27.64,27.64,0,1,1,0.009892175,0.030656039
