InChiKey,smiles,new_smiles,standardized_smiles,_prototype_ringcountBOOL,_prototype_aromaticBOOL,_prototype_AmineSitesINT,_prototype_PrimarySitesBOOL,_prototype_SecondarySitesBOOL,_prototype_TertiarySitesBOOL,_prototype_ImminiumSitesBOOL,_prototype_heteroatomINT
VAWHFUNJDMQUSB-UHFFFAOYSA-N,C1COCC[NH2+]1.[I-],C1COCC[NH2+]1,C1COCC[NH2+]1,1,0,1,0,1,0,0,2
VNAAUNTYIONOHR-UHFFFAOYSA-N,CCCCCC[NH3+].[I-],CCCCCC[NH3+],CCCCCC[NH3+],0,0,1,1,0,0,0,1
HBPSMMXRESDUSG-UHFFFAOYSA-N,C1CC[NH2+]CC1.[I-],C1CC[NH2+]CC1,C1CC[NH2+]CC1,1,0,1,0,1,0,0,1
ZEVRFFCPALTVDN-UHFFFAOYSA-N,C1CCC(CC1)C[NH3+].[I-],[NH3+]CC1CCCCC1,[NH3+]CC1CCCCC1,1,0,1,1,0,0,0,1
XZUCBFLUEBDNSJ-UHFFFAOYSA-N,C(CC[NH3+])C[NH3+].[I-].[I-],[NH3+]CCCC[NH3+],[NH3+]CCCC[NH3+],0,0,2,1,0,0,0,2
RYYSZNVPBLKLRS-UHFFFAOYSA-N,C1=CC(=CC=C1[NH3+])[NH3+].[I-].[I-],[NH3+]c1ccc([NH3+])cc1,[NH3+]C1=CC=C([NH3+])C=C1,1,1,2,1,0,0,0,2
BAMDIFIROXTEEM-UHFFFAOYSA-N,C[NH+](C)CC[NH3+].[I-].[I-],C[NH+](C)CC[NH3+],C[NH+](C)CC[NH3+],0,0,2,1,0,0,0,2
NXRUEVJQMBGVAT-UHFFFAOYSA-N,CC[NH+](CC)CCC[NH3+].[I-].[I-],CC[NH+](CC)CCC[NH3+],CC[NH+](CC)CCC[NH3+],0,0,2,1,0,1,0,2
QZCGFUVVXNFSLE-UHFFFAOYSA-N,[I-].[I-].C1C[NH2+]CC[NH2+]1,C1C[NH2+]CC[NH2+]1,C1C[NH2+]CC[NH2+]1,1,0,2,0,1,0,0,2
UVLZLKCGKYLKOR-UHFFFAOYSA-N,C1CC[NH+](C1)CC[NH3+].[I-].[I-],[NH3+]CC[NH+]1CCCC1,[NH3+]CC[NH+]1CCCC1,1,0,2,1,0,1,0,2
PBGZCCFVBVEIAS-UHFFFAOYSA-N,CC(C)[NH2+]C(C)C.[I-],CC(C)[NH2+]C(C)C,CC(C)[NH2+]C(C)C,0,0,1,0,1,0,0,1
JERSPYRKVMAEJY-UHFFFAOYSA-N,C[NH+](C)CCC[NH3+].[I-].[I-],C[NH+](C)CCC[NH3+],C[NH+](C)CCC[NH3+],0,0,2,1,0,1,0,2
QNNYEDWTOZODAS-UHFFFAOYSA-N,[I-].[NH3+](CCC1=CC=C(C=C1)OC),COc1ccc(CC[NH3+])cc1,COC1=CC=C(CC[NH3+])C=C1,1,1,1,1,0,0,0,2
